epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2640.4,1.26531,0.66926,1.05495,0.79429,0.88915,0.89447,0.5601,1.28711,0.6663,1.10788,0.000307,0.000307,0.000307
44,2700.04,1.24135,0.65721,1.03564,0.79687,0.83864,0.88813,0.55947,1.29152,0.71649,1.10816,0.0002905,0.0002905,0.0002905
45,2760.24,1.23646,0.65961,1.03141,0.82703,0.86322,0.89518,0.54917,1.33871,0.70291,1.1256,0.000274,0.000274,0.000274
46,2820.84,1.25043,0.66213,1.04307,0.84157,0.8551,0.90072,0.5611,1.29585,0.66766,1.11365,0.0002575,0.0002575,0.0002575
47,2880.81,1.22873,0.64612,1.03382,0.81176,0.87596,0.89981,0.55776,1.32397,0.68775,1.12459,0.000241,0.000241,0.000241
48,2940.61,1.2175,0.6388,1.0365,0.80141,0.87055,0.89185,0.55286,1.32477,0.68401,1.1182,0.0002245,0.0002245,0.0002245
49,3000.93,1.21369,0.6291,1.02899,0.82952,0.85108,0.88865,0.54248,1.34397,0.70456,1.12719,0.000208,0.000208,0.000208
50,3061.83,1.2071,0.62006,1.0268,0.78858,0.88211,0.88934,0.55148,1.32467,0.69763,1.1201,0.0001915,0.0001915,0.0001915
51,3122.58,1.18155,0.56686,1.062,0.81029,0.8493,0.88125,0.54107,1.34664,0.70794,1.12769,0.000175,0.000175,0.000175
52,3181.75,1.17509,0.56279,1.06005,0.80049,0.84945,0.87782,0.5467,1.32651,0.7223,1.11844,0.0001585,0.0001585,0.0001585
53,3241.36,1.16606,0.54304,1.04801,0.81204,0.854,0.87489,0.54687,1.34554,0.71208,1.13408,0.000142,0.000142,0.000142
54,3300.23,1.16624,0.54962,1.04378,0.83248,0.83563,0.88576,0.55505,1.32678,0.6956,1.12464,0.0001255,0.0001255,0.0001255
55,3359.53,1.14817,0.53142,1.04226,0.80455,0.86482,0.88998,0.553,1.33613,0.69547,1.1308,0.000109,0.000109,0.000109
56,3419.38,1.15945,0.52857,1.0618,0.80277,0.8613,0.88632,0.56034,1.31588,0.69464,1.12054,9.25e-05,9.25e-05,9.25e-05
57,3478.65,1.13522,0.51842,1.0457,0.79749,0.88513,0.89243,0.55423,1.34029,0.69433,1.12425,7.6e-05,7.6e-05,7.6e-05
